time,latitude (deg),longitude (deg), FMTID, YEAR, MONTH, DAY, HOUR, MIN,surf temperature (degC),barometric_pressure (hPa),air temperature (degC), VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body,Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2019-08-12 07:30:00,-55.3924,4.0802,40,2019,8,12,7,30,-1.1,994.8,1.1,15.2,0,40,88,10, 2827061DEB5126C2BFFCC2BFC000A8FB9C16A2B2BF,ISVP1_30min,811.0008751872455,601.1862575471706,1009.5282739072003,1800.0,0.5608490410595557,0.4505560417706919,0.3339923653039837,253.26681661664395,182.85186675560996,312.3761923949072
2019-08-12 08:00:00,-55.387,4.0924,40,2019,8,12,8,0,-1.1,995.1,1.0,15.2,0,40,86,13, 282706200B5726C27FFCC37FC000A9025C171CAEBF,ISVP1_30min,773.0905733011563,601.1857231936391,979.3330936402432,1800.0,0.5440739409112462,0.4294947629450868,0.3339920684409106,254.00720242174185,183.45305247880347,313.32839217969115
2019-08-12 08:30:00,-55.3816,4.1062,40,2019,8,12,8,30,-1.1,994.2,-0.4,15.2,0,40,40,20, 28270621EB4526BEFFFCC53FC000A9091C17A652BF,ISVP1_30min,874.598675050837,601.1851887990927,1061.2947157279548,1800.0,0.5896081754044193,0.48588815280602055,0.3339917715550515,254.8446855601656,184.0542376676023,314.35931060120026
2019-08-12 09:00:00,-55.375,4.1192,40,2019,8,12,9,0,-1.1,990.4,-4.4,15.2,0,40,56,13, 282706240AF926B4FFFCC37FC000A9115C182872BF,ISVP1_30min,824.009561088192,734.7811716496689,1104.0358359109614,1800.0,0.6133532421727563,0.45778308949344,0.4082117620275938,255.63361657051558,184.78901883925192,315.4291162915922
2019-08-12 09:30:00,-55.3684,4.1324,40,2019,8,12,9,30,-1.1,990.2,-4.9,15.2,0,40,70,4, 28270625EAF526B3BFFCC13FC000A9199C18AC8EBF,ISVP1_30min,836.82593650601,734.7803732348909,1113.6336223823193,1800.0,0.6186853457679552,0.4649032980588944,0.4082113184638283,256.43468261008815,185.52379921248706,316.5088095449665
2019-08-12 10:00:00,-55.3628,4.1458,40,2019,8,12,10,0,-1.1,990.6,-3.5,15.2,0,36,104,4, 282706280AFD26B73FFCC13FC000A9209C1932D27F,ISVP1_30min,849.6465218931046,623.4493874816015,1053.8445572835844,1800.0,0.5854691984908802,0.4720258454961692,0.34636077082311195,257.2478835626253,186.14724859996858,317.5331034062252
2019-08-12 10:30:00,-55.358,4.1572,40,2019,8,12,10,30,-1.1,990.6,0.2,15.2,0,40,82,24, 28270629EAFD26C07FFCC63FC000A9269C19A4A6BF,ISVP1_30min,722.9356731046915,534.3847317065811,899.001128435581,1800.0,0.49944507135310057,0.4016309295026064,0.29688040650365616,257.93970928853776,186.68163333167507,318.4068558483585
2019-08-12 11:00:00,-55.3534,4.1696,40,2019,8,12,11,0,-1.1,990.4,0.2,15.2,0,40,52,9, 2827062C0AF926C07FFCC27FC000A92C5C1A206ABF,ISVP1_30min,786.4462348087906,512.1183048568752,938.4896581286353,1800.0,0.5213831434047974,0.43691457489377256,0.2845101693649307,258.69221944001487,187.19375163653226,319.3167158959276
2019-08-12 11:30:00,-55.349,4.1802,40,2019,8,12,11,30,-1.1,991.3,0.6,15.2,0,40,30,23, 2827062DEB0B26C17FFCC5FFC000A931DC1A8A3EBF,ISVP1_30min,672.3626307714201,489.85192858553074,831.8812530624963,1800.0,0.4621562517013868,0.37353479487301117,0.27213996032529486,259.3354925557759,187.68360356511758,320.12502674163903
2019-08-12 11:30:00,-55.349,4.1802,40,2019,8,12,11,30,-1.1,991.3,0.6,15.2,0,40,30,23, 2827062DEB0B26C17FFCC5FFC000A931DC1A8A3EBF,ISVP1_30min,0.0,0.0,0.0,0.0,,,,259.3354925557759,187.68360356511758,320.12502674163903
