time,latitude (deg),longitude (deg),altitude,geometry,temperature (degC),barometric_pressure (hPa),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2019-11-01 18:00:00+00:00,-59.4148,8.5642,,Point,-2.02,980.5,ISVP6,261.19184361817264,111.40229319970345,283.9571272266513,3600.0,0.07887697978518092,0.07255328989393685,0.03094508144436207,23.208230594779746,4.834842958613698,23.70649011926749
2019-11-01 19:00:00+00:00,-59.4132,8.568,,Point,-2.28,980.8,ISVP6,215.7735357556871,178.24363336532332,279.87320623414917,3600.0,0.07774255728726366,0.059937093265468644,0.04951212037925648,23.42427909106456,4.656599325248282,23.882645754019528
2019-11-01 20:00:00+00:00,-59.4118,8.5704,,Point,-2.44,980.7,ISVP6,136.28445003884434,155.9631430957706,207.1182109972517,3600.0,0.05753283638812547,0.03785679167745676,0.04332309530438072,23.560730763112677,4.500636182152414,23.98674134049858
2019-11-01 21:00:00+00:00,-59.4106,8.5714,,Point,-2.63,980.8,ISVP6,56.78753082139798,133.68266726451398,145.24420533620605,3600.0,0.04034561259339057,0.015774314117054995,0.03713407424014277,23.61758562421015,4.366953514887666,24.017923176621405
2019-11-01 22:00:00+00:00,-59.4098,8.5716,,Point,-2.94,980.8,ISVP6,11.357907867890908,89.12176442341138,89.84258992859418,3600.0,0.02495627498016505,0.0031549744077474747,0.024756045673169826,23.6289565962699,4.277831750464248,24.013067990444014
2019-11-02 00:00:00+00:00,-59.4086,8.5718,,Point,-3.11,980.2,ISVP6,11.358175667452874,133.68262600622208,134.16427486634495,7200.0,0.018633927064770132,0.0015775243982573436,0.018567031389753068,23.64032756827634,4.144149124457747,24.000813725812513
2019-11-02 01:00:00+00:00,-59.4076,8.5688,,Point,-3.37,979.9,ISVP6,-170.3786604249334,111.40216942741174,203.56652790016466,3600.0,0.056546257750045736,-0.04732740567359261,0.030945047063169927,23.4697629825948,4.032746955030326,23.813710808323922
2019-11-02 02:00:00+00:00,-59.4072,8.5634,,Point,-3.61,979.7,ISVP6,-306.6906267433621,44.56086295717995,309.91097276431634,3600.0,0.08608638132342121,-0.08519184076204503,0.012378017488105542,23.162746698411215,3.988186092073316,23.503584044136048
2019-11-02 03:00:00+00:00,-59.4064,8.5568,,Point,-3.74,979.8,ISVP6,-374.84851786555754,89.12171766323227,385.29740708347634,3600.0,0.10702705752318788,-0.10412458829598821,0.024756032684231186,22.78750452162727,3.899064374409639,23.118673519883743
2019-11-02 04:00:00+00:00,-59.4058,8.5482,,Point,-3.78,979.7,ISVP6,-488.45049265576904,66.84128102670351,493.0026781113407,3600.0,0.1369451883642613,-0.1356806924043803,0.01856702250741764,22.298552510458585,3.832223093383036,22.625458622956952
2019-11-02 05:00:00+00:00,-59.4052,8.5386,,Point,-3.81,980.1,ISVP6,-545.2567018460379,66.84127483534735,549.3383537762801,3600.0,0.1525939871600778,-0.15146019495723276,0.018567020787596485,21.752745504520064,3.765381818547731,22.076232405550265
2019-11-02 06:00:00+00:00,-59.4056,8.5286,,Point,-3.53,980.2,ISVP6,-567.9857730370587,-44.56084920231936,569.7310836299324,3600.0,0.15825863434164789,-0.15777382584362742,-0.012378013667310934,21.184196419836645,3.809942667750334,21.524075847426396
2019-11-02 07:00:00+00:00,-59.4068,8.5208,,Point,-2.17,980.1,ISVP6,-443.02368130320303,-133.68256411533653,462.75372515398846,3600.0,0.12854270143166346,-0.12306213369533417,-0.03713404558759348,20.740728050695864,3.943625231865375,21.112318206258816
2019-11-02 08:00:00+00:00,-59.408,8.5138,,Point,-0.76,980.1,ISVP6,-397.57129617247296,-133.68258887246864,419.4448355957023,3600.0,0.11651245433213953,-0.11043647115902026,-0.03713405246457462,20.342743556225944,4.077307820738227,20.747328851190105
2019-11-02 09:00:00+00:00,-59.4064,8.5068,,Point,1.01,980.0,ISVP6,-397.55723710773356,178.24344632848667,435.68622073206626,3600.0,0.12102395020335174,-0.11043256586325932,0.04951206842457963,19.94475900554893,3.899064374409639,20.32230584321611
2019-11-02 10:00:00+00:00,-59.4032,8.4982,,Point,-1.25,980.2,ISVP6,-488.45049265566837,356.4867606172952,604.7038070584457,3600.0,0.16797327973845713,-0.13568069240435232,0.0990241001714709,19.455806482248008,3.5425776137922393,19.77569877461794
2019-11-02 11:00:00+00:00,-59.399,8.4846,,Point,-1.88,980.4,ISVP6,-772.5061737780136,467.8886061235904,903.1531078756375,3600.0,0.2508758632987882,-0.21458504827167044,0.1299690572565529,18.682579071290395,3.0746890076687965,18.933897465891622
2019-11-02 12:00:00+00:00,-59.3952,8.4692,,Point,-2.2,980.9,ISVP6,-874.8578851800956,423.3275251321897,971.8963487925727,3600.0,0.26997120799793684,-0.24301607921669324,0.11759097920338603,17.807012503483953,2.651361482536737,18.00331669471804
2019-11-02 13:00:00+00:00,-59.3912,8.4538,,Point,-2.7,981.5,ISVP6,-874.9558194306063,445.6076529362715,981.8930014573158,3600.0,0.2727480559603655,-0.2430432831751684,0.12377990359340875,16.931445697545357,2.2057538296006114,17.07451912546075
