time,latitude (deg),longitude (deg),Altitude,temperature (degC),Battery Voltage,Unit_ID,drift_x (m),drift_y (m),U (m/s),u (m/s),v (m/s)
2019-11-08 16:00:10+00:00,-59.45925,11.92383333,8162,1,6.5 V,Trident_U4,4351.127362754881,-583.0086798767061,0.30486196886526556,0.3021616224135334,-0.04048671388032681
2019-11-08 20:00:28+00:00,-59.4492,12.00711667,2,0,6.4 V,Trident_U4,4722.8388702857,1119.5997686079224,0.3366438909521923,0.32756546471672215,0.07765291778387588
2019-11-09 00:00:28+00:00,-59.43446667,12.0874,2,-1,6.4 V,Trident_U4,4554.065144874935,1641.333466508928,0.3361676726688679,0.31625452394964826,0.11398149072978667
2019-11-09 04:00:10+00:00,-59.42521667,12.16858333,9,-1,6.4 V,Trident_U4,4607.120196169656,1030.4735239298213,0.32825453360806534,0.32033932667011933,0.07165022416422065
2019-11-09 08:00:28+00:00,-59.41805,12.24641667,8163,3,6.5 V,Trident_U4,4418.214955939883,798.3842527671864,0.3114003804895925,0.3064374362560607,0.05537413322008506
2019-11-09 12:00:28+00:00,-59.42491667,12.31886667,2,5,6.5 V,Trident_U4,4113.498473750122,-764.9635144461454,0.29055707317144674,0.28565961623264735,-0.05312246628098232
2019-11-09 16:00:28+00:00,-59.4467,12.4108,8163,3,6.5 V,Trident_U4,5218.647920100857,-2426.7205931065014,0.3996722890242817,0.36240610556255953,-0.1685222634101737
2019-11-09 20:00:28+00:00,-59.45803333,12.51225,2,0,6.4 V,Trident_U4,5755.1671846393365,-1262.5661701237796,0.4091687802679961,0.39966438782217617,-0.0876782062585958
2019-11-10 00:00:28+00:00,-59.46493333,12.58778333,0,0,6.4 V,Trident_U4,4283.504574359093,-768.6812983479923,0.3022172625922676,0.29746559544160367,-0.05338064571861058
2019-11-10 04:00:28+00:00,-59.48558333,12.63973333,4,0,6.4 V,Trident_U4,2945.490784124375,-2300.478625271986,0.25954128672956855,0.20454797111974826,-0.15975546008833236
2019-11-10 08:00:28+00:00,-59.51988333,12.694,3,2,6.4 V,Trident_U4,3074.965767340566,-3821.1501639006024,0.3406078546865305,0.2135392893986504,-0.26535765027087516
2019-11-10 12:00:10+00:00,-59.55205,12.76446667,8162,3,6.5 V,Trident_U4,3988.8728729183176,-3583.507445497538,0.3728374436863545,0.27735175030721165,-0.24916614139184662
2019-11-10 16:00:29+00:00,-59.58813333,12.81386667,8163,1,6.5 V,Trident_U4,2793.6989534103295,-4019.86157617483,0.33950399147048205,0.19375122778350298,-0.2787892070306422
2019-11-10 20:00:28+00:00,-59.63941667,12.91365,5,-1,6.4 V,Trident_U4,5636.970966596205,-5713.256308557735,0.5574000934108556,0.3914835034791447,-0.39678146458488334
2019-11-11 00:00:28+00:00,-59.66508333,13.11721667,1,-2,6.4 V,Trident_U4,11482.397171586033,-2859.429087814654,0.8217416585323595,0.7973886924712523,-0.1985714644315732
2019-11-11 04:00:28+00:00,-59.62823333,13.30773333,8,-2,6.4 V,Trident_U4,10738.09265835673,4105.32073023211,0.7983402083929164,0.7457008790525508,0.2850917173772298
2019-11-11 08:00:29+00:00,-59.60083333,13.37003333,0,1,6.4 V,Trident_U4,3515.268675083251,3052.516492452042,0.3232857858652139,0.24409892889960771,0.21196559214304853
2019-11-11 12:00:10+00:00,-59.6064,13.4511,9,4,6.4 V,Trident_U4,4577.900958870118,-620.1577908214233,0.32123744317746916,0.3183298073061761,-0.04312341219813805
2019-11-11 16:00:28+00:00,-59.59186667,13.58828333,5,0,6.4 V,Trident_U4,7745.572866383644,1619.092134649823,0.5488269309758954,0.5372154852534086,0.11229658306629373
2019-11-11 20:00:06+00:00,-59.56791667,13.66236667,12,-2,6.4 V,Trident_U4,4184.660660688617,2668.1525761188736,0.34517350781008066,0.29104608851638736,0.1855718859451157
2019-11-12 00:00:28+00:00,-59.58645,13.7037,1,-2,6.4 V,Trident_U4,2336.4083250965414,-2064.706955524511,0.21619630494550418,0.16200307343617676,-0.1431637051396832
2019-11-12 04:00:28+00:00,-59.61148333,13.82336667,7,-1,6.4 V,Trident_U4,6760.56032168329,-2788.8492634763825,0.5078609299200247,0.4694833556724507,-0.19367008774141545
2019-11-12 08:00:28+00:00,-59.5922,13.90596667,7,1,6.4 V,Trident_U4,4663.01395172504,2148.26890555399,0.3565332045516666,0.3238204133142389,0.14918534066347153
2019-11-12 12:00:28+00:00,-59.60055,13.9049,1,5,6.4 V,Trident_U4,-60.25117181537486,-930.2350934521644,0.06473501947856251,-0.004184109153845476,-0.06459965926751142
2019-11-12 16:00:04+00:00,-59.66346667,13.92595,7919,0,6.5 V,Trident_U4,1188.720735781694,-7009.295201938803,0.49453112504334995,0.0826878642029559,-0.487569226623456
2019-11-12 20:00:10+00:00,-59.7088,14.01043333,2,-2,6.4 V,Trident_U4,4761.965403078106,-5050.447422226119,0.48184239817958463,0.3305543109175417,-0.35057944066542546
2019-11-13 00:00:28+00:00,-59.7391,14.01841667,2,-1,6.4 V,Trident_U4,449.37940441786213,-3375.6497673822987,0.23619295036326704,0.03116794315562922,-0.23412746340562482
2019-11-13 04:00:28+00:00,-59.78656667,14.0631,8,0,6.4 V,Trident_U4,2512.9353984570294,-5288.178507232593,0.4065892235263569,0.17450940267062703,-0.36723461855781897
2019-11-13 08:00:28+00:00,-59.81271667,14.1944,3,2,6.4 V,Trident_U4,7373.6793410328355,-2913.342095356378,0.5505797536663767,0.5120610653495025,-0.20231542328863739
2019-11-13 12:00:10+00:00,-59.79485,14.28071667,7,4,6.4 V,Trident_U4,4843.6667862533795,1990.5068769703537,0.3641161847663031,0.33678673246094976,0.1384026475434817
2019-11-14 15:59:57+00:00,-59.90021667,14.13356667,9,-1,6.5 V,Trident_U4,-8261.751262951053,-11738.86826951935,0.9977552810108813,-0.5742511477688923,-0.8159357940862827
2019-11-14 20:00:28+00:00,-59.83848333,14.07976667,6,-3,6.5 V,Trident_U4,-3011.0756526316663,6877.715365931617,0.5202664716799694,-0.20865329170755084,0.4765931235487227
