time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),battery_voltage (V),GPS_signal_to_noise_ratio (),GPS_time_since_last_fix (min),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s),x (km),y (km),distance (km)
2015-07-27 22:00:00,-57.8354,19.1608,0.734,-1.4,942.1,-4.3,14.8,36.0,0,2015P6,1842.3899117392252,-1893.3680754590014,2641.8257429372197,3600.0,0.7338404841492278,0.5117749754831181,-0.5259355765163892,961.4784506015839,1187.095843829409,1527.624742339649
2015-07-27 23:00:00,-57.85,19.2086,,-1.5,943.6,-1.3,14.8,40.0,0,2015P6,2839.5093250565888,-1626.0731309549924,3272.144103534729,3600.0,0.9089289176485358,0.7887525902934969,-0.4516869808208312,963.3994451640652,1185.4697706984543,1527.572279200652
2015-07-28 00:00:00,-57.85,19.2086,0.454,-1.5,945.2,2.7,14.8,36.0,61,2015P6,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,963.3994451640652,1185.4697706984543,1527.572279200652
2015-07-28 01:00:00,-57.8618,19.3172,,-1.4,947.8,5.7,14.8,36.0,0,2015P6,6448.660303817857,-1314.226242238251,6581.216477963925,3600.0,1.8281156883233125,1.7912945288382938,-0.3650628450661808,967.7633366703428,1184.155544456216,1529.3103770228306
2015-07-28 02:00:00,-57.8618,19.3172,,-1.3,951.0,7.4,14.8,36.0,62,2015P6,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,967.7633366703428,1184.155544456216,1529.3103770228306
2015-07-28 03:00:00,-57.8618,19.3172,0.609,-1.3,953.9,8.6,14.8,36.0,122,2015P6,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,967.7633366703428,1184.155544456216,1529.3103770228306
2015-07-28 04:00:00,-57.8526,19.4396,,-1.3,953.1,5.3,14.8,40.0,0,2015P6,7265.725919220385,1024.6511798812032,7337.621084088687,3600.0,2.0382280789135243,2.01825719978344,0.28462532774477867,972.6808469578117,1185.1801956360966,1533.218877449199
2015-07-28 05:00:00,-57.8526,19.4396,,-1.3,953.8,2.8,14.8,36.0,60,2015P6,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,972.6808469578117,1185.1801956360966,1533.218877449199
2015-07-28 06:00:00,-57.8526,19.4396,0.679,-1.4,953.5,-0.4,14.8,40.0,120,2015P6,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,972.6808469578117,1185.1801956360966,1533.218877449199
2015-07-28 07:00:00,-57.8502,19.5214,1.351,-1.3,955.2,2.2,14.8,36.0,0,2015P6,4856.928398002128,267.3000618025766,4864.278238994885,3600.0,1.3511883997208014,1.3491467772228134,0.07425001716738239,975.9666830085365,1185.4474956979,1535.511879276454
2015-07-28 08:00:00,-57.85,19.5446,0.383,-1.3,956.2,2.4,14.8,36.0,0,2015P6,1377.6068605086111,22.275000554622913,1377.7869348234146,3600.0,0.38271859300650407,0.3826685723635031,0.006187500154061921,976.898528271156,1185.4697706984543,1536.1215159544497
2015-07-28 09:00:00,-57.8502,19.576,0.518,-1.2,955.0,1.5,14.8,36.0,0,2015P6,1864.5299581159325,-22.275000554622913,1864.6630098657263,3600.0,0.5179619471849239,0.5179249883655368,-0.006187500154061921,978.159677001415,1185.4474956979,1536.9066721072998
2015-07-28 10:00:00,-57.8506,19.6118,0.591,-1.3,955.8,0.5,14.8,36.0,0,2015P6,2125.789882441102,-44.550003231683064,2126.256646568541,3600.0,0.5906268462690392,0.5904971895669727,-0.01237500089768974,979.5974690443529,1185.402945694668,1537.7878088409007
2015-07-28 11:00:00,-57.8536,19.652,0.67,-1.3,954.7,-1.5,14.8,32.0,0,2015P6,2387.033675723149,-334.12511436540143,2410.304827420395,3600.0,0.6695291187278876,0.663064909923097,-0.09281253176816706,981.2118735439261,1185.0688205803024,1538.559342467872
2015-07-28 12:00:00,-57.857,19.6848,,-1.3,959.7,4.7,14.8,32.0,0,2015P6,1947.4675273270418,-378.6753218875695,1983.9417253034317,3600.0,0.5510949236953977,0.5409632020352894,-0.10518758941321375,982.5290210756276,1184.690145258415,1539.108189026436
2015-07-28 13:00:00,-57.857,19.6848,0.276,-1.3,960.4,4.6,14.8,32.0,60,2015P6,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,982.5290210756276,1184.690145258415,1539.108189026436
2015-07-28 14:00:00,-57.8644,19.7558,1.193,-1.3,958.8,4.1,14.8,36.0,0,2015P6,4215.157240582897,-824.1764067089814,4294.975822075621,3600.0,1.1930488394654504,1.1708770112730271,-0.22893789075249482,985.3799229477768,1183.865968851706,1540.2961483928195
2015-07-28 15:00:00,-57.8658,19.795,,-1.3,959.0,-0.8,14.8,40.0,0,2015P6,2326.7643522291983,-155.92537497879204,2331.9830774186244,3600.0,0.647773077060729,0.6463234311747773,-0.043312604160775564,986.9538006721239,1183.7100434767272,1541.1837241837281
2015-07-28 16:00:00,-57.8658,19.795,0.324,-1.3,958.4,-2.0,14.8,36.0,60,2015P6,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,986.9538006721239,1183.7100434767272,1541.1837241837281
2015-07-28 17:00:00,-57.863,19.8728,1.286,-1.4,958.5,-0.3,14.8,40.0,0,2015P6,4617.735485574603,311.85071532641666,4628.253653742901,3600.0,1.2856260149285836,1.282704301548501,0.08662519870178241,990.0771675619244,1184.0218941920537,1543.4249718251879
2015-07-28 18:00:00,-57.8626,19.9208,0.792,-1.3,949.1,-9.9,14.8,36.0,0,2015P6,2849.209800506951,44.55009088085349,2849.558070631717,3600.0,0.7915439085088103,0.7914471668074864,0.012375025244681525,992.0039820246777,1184.0664442829345,1544.6958421740019
