time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),submerged_boolean (none),accelometer_variance (),sampling_ratio (s),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s)
2019-01-21 13:00:26,-65.7838,-61.0896,0.038,0.8,979.3,0.7,0.0,7.0,60.0,2019P93,128.21058790130576,-44.6017076993547,135.7470706118446,3572.0,0.03800309927543242,0.03589322169689411,-0.01248648031896828
2019-01-21 14:00:25,-65.7848,-61.0864,0.052,1.2,979.6,0.8,0.0,5.0,60.0,2019P93,146.52411434362557,-111.5042795413546,184.12637084410372,3599.0,0.051160425352626764,0.04071245188764256,-0.030982017099570606
2019-01-21 15:00:25,-65.7862,-61.0835,0.056,2.9,979.9,1.0,0.0,4.0,60.0,2019P93,132.78233149283062,-156.10601605638925,204.93959062530993,3600.0,0.05692766406258609,0.036883980970230726,-0.0433627822378859
2019-01-21 16:00:54,-65.7881,-61.0815,0.065,4.7,980.0,0.7,0.0,4.0,60.0,2019P93,91.56905202991845,-211.85821073879214,230.80033090769254,3629.0,0.06359887872904176,0.025232585293446803,-0.05837922588558615
2019-01-21 17:00:26,-65.7903,-61.0804,0.071,4.1,980.3,0.7,0.0,4.0,60.0,2019P93,50.359269047671,-245.30957347166097,250.42532383100544,3572.0,0.07010787341293545,0.014098339599012038,-0.06867569246127127
2019-01-21 18:00:25,-65.7922,-61.0805,0.056,4.0,980.4,0.5,0.0,4.0,60.0,2019P93,-4.577724880709156,-211.85832525309576,211.9077760350714,3599.0,0.058879626572678916,-0.001271943562297626,-0.05886588642764539
2019-01-21 19:00:54,-65.7933,-61.0815,0.038,4.1,980.6,0.6,0.0,5.0,60.0,2019P93,-45.77387635806626,-122.65484413804244,130.91775489738214,3629.0,0.03607543535337066,-0.012613358048516467,-0.03379852414936413
2019-01-21 20:00:26,-65.7938,-61.0826,0.021,2.6,981.2,0.9,0.0,3.0,60.0,2019P93,-50.3491162520229,-55.75220776025207,75.12218166095836,3572.0,0.021030845929719585,-0.014095497271003052,-0.015608120873530815
2019-01-21 21:00:26,-65.7935,-61.0836,0.016,2.8,981.4,1.0,0.0,5.0,60.0,2019P93,-45.77103636311089,33.45132509826115,56.69196522067987,3600.0,0.01574776811685552,-0.012714176767530802,0.009292034749516986
2019-01-21 22:00:54,-65.7926,-61.0848,0.033,1.6,981.8,1.2,0.0,4.0,60.0,2019P93,-54.925882637982404,100.35396735373932,114.40179783201309,3628.0,0.03153302035061,-0.015139438433843,0.027660961233114477
2019-01-21 23:00:26,-65.7909,-61.0859,0.055,0.6,982.2,1.0,0.0,4.0,60.0,2019P93,-50.35048299905001,189.55746140567317,196.13057465066709,3572.0,0.05490777565808149,-0.01409587989895017,0.05306759837784803
2019-01-22 00:00:26,-65.7888,-61.0869,0.067,0.0,982.7,1.3,0.0,3.0,60.0,2019P93,-45.776183827272746,234.15915837883674,238.59163954018467,3600.0,0.06627545542782907,-0.012715606618686873,0.06504421066078798
2019-01-22 01:00:26,-65.7867,-61.0873,0.065,0.0,983.1,1.3,0.0,2.0,60.0,2019P93,-18.311964490949617,234.15909355009637,234.8740282273044,3600.0,0.06524278561869566,-0.0050866568030415605,0.06504419265280455
2019-01-22 02:00:54,-65.7849,-61.0876,0.055,-0.5,983.5,1.3,0.0,5.0,60.0,2019P93,-13.735091569555463,200.7077428706918,201.17716269167286,3628.0,0.0554512576327654,-0.003785857654232487,0.05532186958949608
2019-01-22 03:00:27,-65.7833,-61.0881,0.049,-1.7,984.0,1.3,0.0,3.0,60.0,2019P93,-22.89341668750465,178.40684256019648,179.86970284049076,3573.0,0.050341366594036034,-0.0064073374440259305,0.04993194586067632
2019-01-22 04:00:26,-65.7822,-61.089,0.036,-1.9,984.3,1.2,0.0,3.0,60.0,2019P93,-41.210705851658496,122.65468242634768,129.39278727154817,3599.0,0.035952427694234,-0.011450599014075715,0.03408021184394212
2019-01-22 05:00:54,-65.7814,-61.09,0.026,-2.4,984.5,1.0,0.0,3.0,60.0,2019P93,-45.79162550539429,89.20339422692606,100.27022742584492,3628.0,0.02763787966533763,-0.012621726986051348,0.024587484627046876
2019-01-22 06:00:26,-65.7807,-61.0915,0.03,-2.5,984.8,0.8,0.0,3.0,60.0,2019P93,-68.68956806270961,78.05296222976072,103.97365855581917,3572.0,0.029107967120890026,-0.01923000225719754,0.02185133321101924
2019-01-22 07:00:26,-65.7802,-61.0926,0.021,-2.2,985.1,0.8,0.0,3.0,60.0,2019P93,-50.373716530160834,55.75211146675619,75.13860026685755,3600.0,0.02087183340746043,-0.013992699036155788,0.015486697629654498
2019-01-22 08:00:54,-65.78,-61.093,0.007,-2.3,985.2,0.7,0.0,5.0,60.0,2019P93,-18.31807006627982,22.300843556172115,28.859648547236333,3628.0,0.007954699158554667,-0.0050490821571884835,0.006146869778437738
2019-01-22 09:00:26,-65.78,-61.0922,0.011,-2.2,985.4,0.6,0.0,4.0,60.0,2019P93,36.63642410230842,0.0,36.63642410230842,3572.0,0.010256557699414451,0.010256557699414451,0.0
2019-01-22 10:00:26,-65.7802,-61.089,0.04,-1.6,985.7,0.6,0.0,7.0,60.0,2019P93,146.5456963934402,-22.300843556172115,148.232819425238,3600.0,0.041175783173677226,0.04070713788706672,-0.006194678765603365
2019-01-22 11:00:27,-65.7802,-61.0843,0.06,-0.7,986.0,0.8,0.0,4.0,60.0,2019P93,215.23732322573807,0.0,215.23732322573807,3601.0,0.05977154213433437,0.05977154213433437,0.0
2019-01-22 12:00:54,-65.7798,-61.0785,0.075,0.7,986.2,0.8,0.0,4.0,60.0,2019P93,265.61201586332885,44.601686526608056,269.33075095874045,3627.0,0.07425716872311565,0.07323187644425941,0.012297128901739193
2019-01-22 13:00:26,-65.7794,-61.0732,0.068,0.2,986.7,1.0,0.0,3.0,60.0,2019P93,242.71819090591796,44.60168417336544,246.78215176090487,3572.0,0.06908794842130596,0.06795022141823011,0.012486473732745085
2019-01-22 14:00:26,-65.7793,-61.0692,0.052,0.1,986.7,0.7,0.0,3.0,60.0,2019P93,183.1863800208949,11.150420675493677,183.52542523149265,3600.0,0.05097928478652573,0.05088510556135969,0.0030973390765260214
2019-01-22 15:00:26,-65.7794,-61.0668,0.03,1.4,987.0,0.8,0.0,3.0,60.0,2019P93,109.91225397735981,-11.150420675493677,110.47640225688075,3600.0,0.030687889515800208,0.030531181660377726,-0.0030973390765260214
2019-01-22 16:00:54,-65.7802,-61.0659,0.025,2.4,987.4,0.7,0.0,5.0,60.0,2019P93,41.21693551138493,-89.20337069968033,98.26534036543227,3628.0,0.027085264709325322,0.011360787075905439,-0.024587478142139012
2019-01-22 17:00:26,-65.7813,-61.0658,0.035,2.8,987.8,1.1,0.0,3.0,60.0,2019P93,4.5795175163331425,-122.65465007962035,122.7401122976369,3572.0,0.03436173356596778,0.0012820597750092784,-0.03433780797301802
2019-01-22 18:00:26,-65.7825,-61.0666,0.039,2.0,988.1,1.1,0.0,3.0,60.0,2019P93,-36.634578287192774,-133.80509310436778,138.72957603535372,3600.0,0.03853599334315381,-0.010176271746442438,-0.03716808141787994
2019-01-22 19:00:54,-65.7836,-61.0685,0.041,2.5,988.4,1.0,0.0,4.0,60.0,2019P93,-87.0030767951827,-122.65468727936255,150.37854794958847,3628.0,0.04144943438522284,-0.023981002424251018,-0.03380779693477468
2019-01-22 20:00:26,-65.7839,-61.0704,0.027,2.5,988.7,0.9,0.0,2.0,60.0,2019P93,-86.99936734631954,-33.45128143610943,93.20878793535324,3572.0,0.026094285536213114,-0.02435592590882406,-0.00936486042444273
2019-01-22 21:00:26,-65.7835,-61.0724,0.029,2.1,989.0,0.9,0.0,4.0,60.0,2019P93,-91.57721649745729,44.6017082878212,101.86117495696807,3600.0,0.02829477082138002,-0.025438115693738134,0.012389363413283666
2019-01-22 22:00:54,-65.7825,-61.0747,0.043,0.6,989.3,0.9,0.0,4.0,60.0,2019P93,-105.31543184634717,111.50426042739471,153.37711784501252,3628.0,0.04227594207414898,-0.02902850932920264,0.030734360647021695
2019-01-22 23:00:26,-65.7808,-61.0767,0.058,-0.6,989.6,0.9,0.0,4.0,60.0,2019P93,-91.58218609997023,189.55720898285455,210.5213345203264,3572.0,0.0589365438186804,-0.02563890988241048,0.053067527710765554
2019-01-23 00:00:26,-65.7786,-61.0785,0.074,-1.5,989.9,0.9,0.0,4.0,60.0,2019P93,-82.42939848874927,245.30926619046792,258.7880248661496,3600.0,0.07188556246281934,-0.022897055135763688,0.06814146283068553
2019-01-23 01:00:26,-65.776,-61.0793,0.081,-0.8,990.2,0.9,0.0,4.0,60.0,2019P93,-36.63841188142922,289.91085919234956,292.21683644656684,3600.0,0.08117134345737968,-0.01017733663373034,0.0805307942200971
2019-01-23 02:00:54,-65.7734,-61.079,0.079,-1.1,990.5,0.9,0.0,7.0,60.0,2019P93,13.740788779725467,289.9107597782687,290.23621054496635,3628.0,0.07999895549751002,0.0037874279988217934,0.07990925021451728
2019-01-23 03:00:26,-65.7709,-61.0783,0.078,-1.7,990.8,0.9,0.0,5.0,60.0,2019P93,32.06507050811394,278.7602521811989,280.5983730223964,3572.0,0.07855497565016696,0.008976783456918797,0.07804038414927181
2019-01-23 04:00:26,-65.7685,-61.0783,0.074,-2.0,990.9,0.7,0.0,5.0,60.0,2019P93,0.0,267.60975560676076,267.60975560676076,3600.0,0.07433604322410022,0.0,0.07433604322410022
2019-01-23 05:00:54,-65.7666,-61.0798,0.061,-1.9,990.9,0.4,0.0,6.0,60.0,2019P93,-68.72390930383604,211.85766310153085,222.72549275923407,3628.0,0.061390709139810935,-0.018942643137771786,0.058395166235262086
2019-01-23 06:00:26,-65.7655,-61.0821,0.044,-1.9,990.9,0.1,0.0,4.0,60.0,2019P93,-105.38441608957102,122.65441225923074,161.70955445241066,3572.0,0.04527143181758417,-0.029502916038513724,0.03433774139396157
