time,latitude (deg),longitude (deg),altitude,geometry,temperature (degC),barometric_pressure (hPa),Unit_ID,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s)
2019-11-23 05:00:00+00:00,-58.4568,5.6072,,Point,-2.59,999.6,ISVP4,-793.87662041352,311.87994613486933,852.9414922726418,3600.0,0.23692819229795606,-0.2205212834482,0.08663331837079703
2019-11-23 06:00:00+00:00,-58.456,5.5886,,Point,-2.13,999.4,ISVP4,-1085.829311132806,89.1085308510611,1089.4795193970276,3600.0,0.3026331998325077,-0.3016192530924461,0.024752369680850306
2019-11-23 07:00:00+00:00,-58.4572,5.5686,,Point,-1.61,999.1,ISVP4,-1167.5849072657913,-133.66280047428805,1175.2107299993036,3600.0,0.32644742499980656,-0.32432914090716425,-0.03712855568730224
2019-11-23 08:00:00+00:00,-58.462,5.549,,Point,-0.77,998.6,ISVP4,-1144.19424129631,-534.6514537733102,1262.9460158049324,3600.0,0.35081833772359233,-0.3178317336934195,-0.1485142927148084
2019-11-23 09:00:00+00:00,-58.47,5.5324,,Point,-0.26,997.9,ISVP4,-968.9304523233423,-891.0866517789624,1316.3820275353803,3600.0,0.36566167431538343,-0.2691473478675951,-0.24752406993860065
2019-11-23 10:00:00+00:00,-58.4812,5.5194,,Point,0.2,997.5,ISVP4,-758.6286323352477,-1247.5231927606228,1460.0792849275365,3600.0,0.4055775791465379,-0.21073017564867993,-0.3465342202112841
2019-11-23 11:00:00+00:00,-58.4932,5.5112,,Point,0.04,997.0,ISVP4,-478.36740715984837,-1336.63442607771,1419.657340772387,3600.0,0.39434926132566306,-0.1328798353221801,-0.3712873405771417
2019-11-23 12:00:00+00:00,-58.5044,5.5096,,Point,2.3,996.5,ISVP4,-93.30816075846558,-1247.5277354622117,1251.0123355153623,3600.0,0.3475034265320451,-0.025918933544018214,-0.3465354820728366
2019-11-23 13:00:00+00:00,-58.5108,5.5146,,Point,1.95,996.0,ISVP4,291.4951788413632,-712.8739760503266,770.1679979183502,3600.0,0.2139355549773195,0.08097088301148977,-0.19802054890286852
2019-11-23 14:00:00+00:00,-58.5112,5.52,,Point,0.31,995.2,ISVP4,314.7575023255208,-44.55464727008603,317.8952687027003,3600.0,0.08830424130630564,0.0874326395348669,-0.01237629090835723
2019-11-23 15:00:00+00:00,-58.5076,5.5236,,Point,0.26,994.7,ISVP4,209.83594770979403,400.991724774939,452.5764999303961,3600.0,0.12571569442511002,0.058287763252720566,0.11138659021526083
2019-11-23 16:00:00+00:00,-58.5014,5.522,,Point,-0.18,994.1,ISVP4,-93.26996986823228,690.596328392203,696.8662540746341,3600.0,0.19357395946517614,-0.025908324963397854,0.1918323134422786
2019-11-23 17:00:00+00:00,-58.4934,5.514,,Point,-0.88,993.5,ISVP4,-466.43206923462924,891.0910438522018,1005.7843325704098,3600.0,0.2793845368251138,-0.1295644636762859,0.24752528995894493
2019-11-23 18:00:00+00:00,-58.4842,5.4982,,Point,-2.01,993.2,ISVP4,-921.4128478064123,1024.753317342355,1378.0859906068576,3600.0,0.38280166405746047,-0.25594801327955896,0.2846536992617653
2019-11-23 19:00:00+00:00,-58.4764,5.4764,,Point,-2.02,992.9,ISVP4,-1271.648862789888,868.8114359838492,1540.1052371611277,3600.0,0.4278070103225355,-0.35323579521941334,0.24133650999551365
2019-11-23 20:00:00+00:00,-58.4708,5.4526,,Point,-4.43,992.6,ISVP4,-1388.621542907028,623.7614005379534,1522.2838349751219,3600.0,0.4228566208264227,-0.3857282063630633,0.17326705570498704
2019-11-23 21:00:00+00:00,-58.4688,5.4304,,Point,35.51,992.2,ISVP4,-1295.4748467423694,222.77179585890133,1314.4893881550986,3600.0,0.36513594115419407,-0.35985412409510265,0.061881054405250366
2019-11-23 22:00:00+00:00,-58.47,5.4098,,Point,-4.13,992.0,ISVP4,-1202.1755610292632,-133.66306912113163,1209.5833561945635,3600.0,0.3359953767207121,-0.333937655841462,-0.03712863031142545
2019-11-23 23:00:00+00:00,-58.4736,5.3912,,Point,-3.32,991.6,ISVP4,-1085.4225029545723,-400.9893584581127,1157.123362272501,3600.0,0.32142315618680584,-0.3015062508207145,-0.1113859329050313
2019-11-24 00:00:00+00:00,-58.4772,5.3752,,Point,-3.43,991.1,ISVP4,-933.6013299292019,-400.9895850887217,1016.0728766162395,3600.0,0.28224246572673317,-0.25933370275811163,-0.11138599585797825
2019-11-24 01:00:00+00:00,-58.4792,5.363,,Point,-3.55,990.7,ISVP4,-711.7982331480431,-222.7720896364269,745.8445740458639,3600.0,0.20717904834607329,-0.19772173143001198,-0.06188113601011858
2019-11-24 02:00:00+00:00,-58.4778,5.3506,,Point,-4.43,990.7,ISVP4,-723.4259582662536,155.94047008915476,740.0422604858953,3600.0,0.20556729457941536,-0.20095165507395932,0.043316797246987435
2019-11-24 03:00:00+00:00,-58.4744,5.338,,Point,-4.57,990.4,ISVP4,-735.1233517985816,378.71242753434166,826.9398074397768,3600.0,0.22970550206660467,-0.20420093105516154,0.10519789653731712
2019-11-24 04:00:00+00:00,-58.4668,5.3252,,Point,-4.99,990.6,ISVP4,-746.8640957138452,846.532930587377,1128.90388432112,3600.0,0.3135844123114222,-0.20746224880940145,0.2351480362742714
2019-11-24 05:00:00+00:00,-58.4568,5.3126,,Point,-3.26,990.6,ISVP4,-735.353023786494,1113.8575801475781,1334.699508670082,3600.0,0.3707498635194672,-0.20426472882958166,0.30940488337432726
2019-11-24 06:00:00+00:00,-58.4454,5.2982,,Point,-4.13,990.7,ISVP4,-840.6420484027348,1269.7955076786766,1522.8459163236753,3600.0,0.4230127545343542,-0.23351168011187076,0.35272097435518796
