time,Unit_ID,latitude (deg),longitude (deg),Altitude,Bearing,Speed,temperature (degC),Battery Level,drift_x (m),drift_y (m),drift (m),delta_t (s),U (m/s),u (m/s),v (m/s)
2017-07-21 08:00:28,Trident_U3,-61.53483,29.67373,8165,316,0.51,-6.0,4.5,-854.3943388241579,1846.5292797660663,2034.615459306293,14400.0,0.14129274022960367,-0.05933294019612208,0.1282311999837546
2017-07-21 12:00:28,Trident_U3,-61.52403,29.66385,8163,318,0.33,-4.0,4.5,-525.5703005938568,1203.5290242956642,1313.2807213952356,14400.0,0.09120005009689136,-0.036497937541240054,0.08357840446497668
2017-07-21 16:00:28,Trident_U3,-61.51825,29.63033,8164,280,0.47,-6.0,4.5,-1783.7278898526126,644.1101152755506,1896.4606575508856,14400.0,0.13169865677436704,-0.12386999235087588,0.04472986911635768
2017-07-21 20:00:28,Trident_U3,-61.5191,29.59438,8170,269,0.48,-7.0,4.5,-1913.392755921464,-94.72204129430737,1915.7359169571614,14400.0,0.13303721645535843,-0.13287449693899056,-0.006577919534326901
2017-07-22 00:00:05,Trident_U3,-61.50885,29.57488,5382,298,0.38,-9.0,4.5,-1037.834225185905,1142.2355874007078,1543.3087883155035,14377.0,0.1073456763104614,-0.07218712006579293,0.07944881320169074
2017-07-22 04:00:28,Trident_U3,-61.4847,29.53842,1,304,0.83,-10.0,4.2,-1941.122731730031,2691.211643093818,3318.2190355012413,14423.0,0.23006441347162457,-0.13458522718782714,0.1865916690767398
2017-07-22 08:00:10,Trident_U3,-61.45685,29.52088,8162,328,0.81,-11.0,4.5,-934.5499227925789,3103.517856557454,3241.1736522689716,14382.0,0.22536320763933887,-0.06498052585124314,0.21579181313846849
2017-07-22 12:00:28,Trident_U3,-61.42712,29.50935,8164,339,0.84,-10.0,4.5,-614.8794137638122,3313.0051351399156,3369.5815346915083,14418.0,0.23370658445633988,-0.04264665097543433,0.22978257283533884
2017-07-22 16:00:30,Trident_U3,-61.39478,29.51913,8170,17,0.91,-13.0,4.5,522.0509685646698,3603.8376713166404,3641.453442649,14402.0,0.25284359412921814,0.03624850496907859,0.2502317505427469
2017-07-22 20:00:28,Trident_U3,-61.36323,29.52815,7902,16,0.89,-13.0,4.5,481.9807640180435,3515.786660985628,3548.6703569714514,14398.0,0.24646967335542794,0.033475535770109976,0.2441857661470779
2017-07-23 00:00:29,Trident_U3,-61.33827,29.54595,8162,35,0.73,-13.0,4.5,952.0959844129595,2781.4157721280635,2939.8572177876313,14401.0,0.2041425746675669,0.06611318550190678,0.19314046053246745
2017-07-23 04:00:28,Trident_U3,-61.31523,29.57797,4,54,0.77,-12.0,4.1,1714.0670916550946,2567.451575700938,3087.042854944548,14399.0,0.2143928644311791,0.11904070363602295,0.17830763078692535
2017-07-23 08:00:28,Trident_U3,-61.29805,29.60143,4,54,0.57,-13.0,4.1,1256.7628810109336,1914.4395171868284,2290.094234753985,14400.0,0.1590343218579156,0.08727520007020373,0.13294718869352976
2017-07-23 12:00:28,Trident_U3,-61.28922,29.61995,8164,65,0.35,-10.0,4.5,992.6676585031788,983.9620669507109,1397.7018385321308,14400.0,0.09706262767584241,0.06893525406272075,0.06833069909379937
2017-07-23 16:00:18,Trident_U3,-61.29408,29.61603,8164,219,0.14,-10.0,4.5,-210.1701273107825,-541.5689961960796,580.9203560339919,14390.0,0.040369725923140504,-0.014605290292618658,-0.0376350935508047
